author,poem,language,name,tags
С коня долой, к нему спешит,
Поймал, за бороду хватает,
Волшебник силится, кряхтит
И вдруг с Русланом улетает…
Ретивый конь вослед глядит;
Уже колдун под облаками;
На бороде герой висит;
Летят над мрачными лесами,
Летят над дикими горами,
Летят над бездною морской;
От напряженья костенея,
Руслан за бороду злодея
Упорной держится рукой.
Меж тем, на воздухе слабея
И силе русской изумясь,
Волшебник гордому Руслану
Коварно молвит: «Слушай, князь!
Тебе вредить я перестану;
Младое мужество любя,
Забуду всё, прощу тебя,
Спущусь — но только с уговором…»
«Молчи, коварный чародей! —
Прервал наш витязь: — с Черномором,
С мучителем жены своей,
Руслан не знает договора!
Сей грозный меч накажет вора.
Лети хоть до ночной звезды,
А быть тебе без бороды!»
Боязнь объемлет Черномора;
В досаде, в горести немой,
Напрасно длинной бородой
Усталый карла потрясает:
Руслан ее не выпускает
И щиплет волосы порой.
Два дни колдун героя носит,
На третий он пощады просит:
«О рыцарь, сжалься надо мной;
Едва дышу; нет мочи боле;
Оставь мне жизнь, в твоей я воле;
Скажи — спущусь, куда велишь… »
«Теперь ты наш: ага, дрожишь!
Смирись, покорствуй русской силе!
Неси меня к моей Людмиле».
Смиренно внемлет Черномор;
Домой он с витязем пустился;
Летит — и мигом очутился
Среди своих ужасных гор.
Тогда Руслан одной рукою
Взял меч сраженной головы
И, бороду схватив другою,
Отсек ее, как горсть травы.
«Знай наших! — молвил он жестоко, —
Что, хищник, где твоя краса?
Где сила?» — и на шлем высокий
Седые вяжет волоса;
Свистя зовет коня лихого;
Веселый конь летит и ржет;
Наш витязь карлу чуть живого
В котомку за седло кладет,
А сам, боясь мгновенья траты,
Спешит на верх горы крутой,
Достиг, и с радостной душой
Летит в волшебные палаты.
Вдали завидя шлем брадатый,
Залог победы роковой,
Пред ним арапов чудный рой,
Толпы невольниц боязливых,
Как призраки, со всех сторон
Бегут — и скрылись. Ходит он
Один средь храмин горделивых,
Супругу милую зовет —
Лишь эхо сводов молчаливых
Руслану голос подает;
В волненье чувств нетерпеливых
Он отворяет двери в сад —
Идет, идет — и не находит;
Кругом смущенный взор обводит —
Всё мертво: рощицы молчат,
Беседки пусты; на стремнинах,
Вдоль берегов ручья, в долинах,
Нигде Людмилы следу нет,
И ухо ничего не внемлет.
Внезапный князя хлад объемлет,
В очах его темнеет свет,
В уме возникли мрачны думы…
«Быть может, горесть… плен угрюмый…
Минута… волны…» В сих мечтах
Он погружен. С немой тоскою
Поникнул витязь головою;
Его томит невольный страх;
Недвижим он, как мертвый камень;
Мрачится разум; дикий пламень
И яд отчаянной любви
Уже текут в его крови.
Казалось — тень княжны прекрасной
Коснулась трепетным устам…
И вдруг, неистовый, ужасный,
Стремится витязь по садам;
Людмилу с воплем призывает,
С холмов утесы отрывает,
Всё рушит, всё крушит мечом —
Беседки, рощи упадают,
Древа, мосты в волнах ныряют,
Степь обнажается кругом!
Далеко гулы повторяют
И рев, и треск, и шум, и гром;
Повсюду меч звенит и свищет,
Прелестный край опустошен —
Безумный витязь жертвы ищет,
С размаха вправо, влево он
Пустынный воздух рассекает…
И вдруг — нечаянный удар
С княжны невидимой сбивает
Прощальный Черномора дар…
Волшебства вмиг исчезла сила:
В сетях открылася Людмила!
Не веря сам своим очам,
Нежданным счастьем упоенный,
Наш витязь падает к ногам
Подруги верной, незабвенной,
Целует руки, сети рвет,
Любви, восторга слезы льет,
Зовет ее — но дева дремлет,
Сомкнуты очи и уста,
И сладострастная мечта
Младую грудь ее подъемлет.
Руслан с нее не сводит глаз,
Его терзает вновь кручина…
Но вдруг знакомый слышит глас,
Глас добродетельного Финна:
«Мужайся, князь! В обратный путь
Ступай со спящею Людмилой;
Наполни сердце новой силой,
Любви и чести верен будь.
Небесный гром на злобу грянет,
И воцарится тишина —
И в светлом Киеве княжна
Перед Владимиром восстанет
От очарованного сна».
Руслан, сим гласом оживленный,
Берет в объятия жену,
И тихо с ношей драгоценной
Он оставляет вышину
И сходит в дол уединенный.
В молчаньи, с карлой за седлом,
Поехал он своим путем;
В его руках лежит Людмила
Свежа, как вешняя заря,
И на плечо богатыря
Лицо спокойное склонила.
Власами, свитыми в кольцо,
Пустынный ветерок играет;
Как часто грудь ее вздыхает!
Как часто тихое лицо
Мгновенной розою пылает!
Любовь и тайная мечта
Русланов образ ей приносят,
И с томным шопотом уста
Супруга имя произносят…
В забвеньи сладком ловит он
Её волшебное дыханье,
Улыбку, слезы, нежный стон
И сонных персей волнованье…
Меж тем, по долам, по горам,
И в белый день, и по ночам,
Наш витязь едет непрестанно.
Еще далек предел желанный,
А дева спит. Но юный князь,
Бесплодным пламенем томясь,
Ужель, страдалец постоянный,
Супругу только сторожил
И в целомудренном мечтанье,
Смирив нескромное желанье,
Свое блаженство находил?
Монах, который сохранил
Потомству верное преданье
О славном витязе моем,
Нас уверяет смело в том:
И верю я! Без разделенья
Унылы, грубы наслажденья:
Мы прямо счастливы вдвоем.
Пастушки, сон княжны прелестной
Не походил на ваши сны,
Порой томительной весны,
На мураве, в тени древесной.
Я помню маленький лужок
Среди березовой дубравы,
Я помню темный вечерок,
Я помню Лиды сон лукавый…
Ах, первый поцелуй любви,
Дрожащий, легкий, торопливый,
Не разогнал, друзья мои,
Ее дремоты терпеливой…
Но полно, я болтаю вздор!
К чему любви воспоминанье?
Ее утеха и страданье
Забыты мною с давних пор;
Теперь влекут мое вниманье
Княжна, Руслан и Черномор.
Пред ними стелется равнина,
Где ели изредка взошли;
И грозного холма вдали
Чернеет круглая вершина
Небес на яркой синеве.
Руслан глядит — и догадался,
Что подъезжает к голове;
Быстрее борзый конь помчался;
Уж видно чудо из чудес;
Она глядит недвижным оком;
Власы ее как черный лес,
Поросший на челе высоком;
Ланиты жизни лишены,
Свинцовой бледностью покрыты;
Уста огромные открыты,
Огромны зубы стеснены…
Над полумертвой головою
Последний день уж тяготел.
К ней храбрый витязь прилетел
С Людмилой, с карлой за спиною.
Он крикнул: «Здравствуй, голова!
Я здесь! наказан твой изменник!
Гляди: вот он, злодей наш пленник!»
И князя гордые слова
Ее внезапно оживили,
На миг в ней чувство разбудили,
Очнулась будто ото сна,
Взглянула, страшно застонала…
Узнала витязя она
И брата с ужасом узнала.
Надулись ноздри; на щеках
Багровый огнь еще родился,
И в умирающих глазах
Последний гнев изобразился.
В смятенье, в бешенстве немом
Она зубами скрежетала
И брату хладным языком
Укор невнятный лепетала…
Уже ее в тот самый час
Кончалось долгое страданье:
Чела мгновенный пламень гас,
Слабело тяжкое дыханье,
Огромный закатился взор,
И вскоре князь и Черномор
Узрели смерти содроганье…
Она почила вечным сном.
В молчанье витязь удалился;
Дрожащий карлик за седлом
Не смел дышать, не шевелился
И чернокнижным языком
Усердно демонам молился.
На склоне темных берегов
Какой-то речки безымянной,
В прохладном сумраке лесов,
Стоял поникшей хаты кров,
Густыми соснами венчанный.
В теченьи медленном река
Вблизи плетень из тростника
Волною сонной омывала
И вкруг него едва журчала
При легком шуме ветерка.
Долина в сих местах таилась,
Уединенна и темна;
И там, казалось, тишина
С начала мира воцарилась.
Руслан остановил коня.
Всё было тихо, безмятежно;
От рассветающего дня
Долина с рощею прибрежной
Сквозь утренний сияла дым.
Руслан на луг жену слагает,
Садится близ нее, вздыхает
С уныньем сладким и немым;
И вдруг он видит пред собою
Смиренный парус челнока
И слышит песню рыбака
Над тихоструйною рекою.
Раскинув невод по волнам,
Рыбак, на весла наклоненный,
Плывет к лесистым берегам,
К порогу хижины смиренной.
И видит добрый князь Руслан:
Челнок ко брегу приплывает;
Из темной хаты выбегает
Младая дева; стройный стан,
Власы, небрежно распущенны,
Улыбка, тихий взор очей,
И грудь, и плечи обнаженны,
Всё мило, всё пленяет в ней.
И вот они, обняв друг друга,
Садятся у прохладных вод,
И час беспечного досуга
Для них с любовью настает.
Но в изумленьи молчаливом
Кого же в рыбаке счастливом
Наш юный витязь узнает?
Хазарский хан, избранный славой,
Ратмир, в любви, в войне кровавой
Его соперник молодой,
Ратмир в пустыне безмятежной
Людмилу, славу позабыл
И им навеки изменил
В объятиях подруги нежной.
Герой приближился, и вмиг
Отшельник узнает Руслана,
Встает, летит. Раздался крик…
И обнял князь младого хана.
«Что вижу я? — спросил герой, —
Зачем ты здесь, зачем оставил
Тревоги жизни боевой
И меч, который ты прославил?»
«Мой друг, — ответствовал рыбак, —
Душе наскучил бранной славы
Пустой и гибельный призрак.
Поверь: невинные забавы,
Любовь и мирные дубравы
Милее сердцу во сто крат.
Теперь, утратив жажду брани,
Престал платить безумству дани,
И, верным счастием богат,
Я всё забыл, товарищ милый,
Всё, даже прелести Людмилы».
«Любезный хан, я очень рад! —
Сказал Руслан, — она со мною».
«Возможно ли, какой судьбою?
Что слышу? Русская княжна…
Она с тобою, где ж она?
Позволь… но нет, боюсь измены;
Моя подруга мне мила;
Моей счастливой перемены
Она виновницей была;
Она мне жизнь, она мне радость!
Она мне возвратила вновь
Мою утраченную младость,
И мир, и чистую любовь.
Напрасно счастье мне сулили
Уста волшебниц молодых;
Двенадцать дев меня любили:
Я для нее покинул их;
Оставил терем их веселый,
В тени хранительных дубров;
Сложил и меч и шлем тяжелый,
Забыл и славу и врагов.
Отшельник, мирный и безвестный,
Остался в счастливой глуши,
С тобой, друг милый, друг прелестный,
С тобою, свет моей души!»
Пастушка милая внимала
Друзей открытый разговор
И, устремив на хана взор,
И улыбалась и вздыхала.
Рыбак и витязь на брегах
До темной ночи просидели
С душой и сердцем на устах —
Часы невидимо летели.
Чернеет лес, темна гора;
Встает луна — всё тихо стало.
Герою в путь давно пора —
Накинув тихо покрывало
На деву спящую, Руслан
Идет и на коня садится;
Задумчиво безмолвный хан
Душой вослед ему стремится,
Руслану счастия, побед
И славы и любви желает…
И думы гордых, юных лет
Невольной грустью оживляет…
Зачем судьбой не суждено
Моей непостоянной лире
Геройство воспевать одно
И с ним (незнаемые в мире)
Любовь и дружбу старых лет?
Печальной истины поэт,
Зачем я должен для потомств
Порок и злобу обнажать
И тайны козни вероломства
В правдивых песнях обличать?
Княжны искатель недостойный,
Охоту к славе потеряв,
Никем не знаемый, Фарлаф
В пустыне дальней и спокойной
Скрывался и Наины ждал.
И час торжественный настал.
К нему волшебница явилась,
Вещая: «Знаешь ли меня?
Ступай за мной; седлай коня!»
И ведьма кошкой обратилась;
Оседлан конь, она пустилась;
Тропами мрачными дубрав
За нею следует Фарлаф.
Долина тихая дремала,
В ночной одетая туман,
Луна во мгле перебегала
Из тучи в тучу и курган
Мгновенным блеском озаряла.
Под ним в безмолвии Руслан
Сидел с обычною тоскою
Пред усыпленною княжною.
Глубоку думу думал он,
Мечты летели за мечтами,
И неприметно веял сон
Над ним холодными крылами.
На деву смутными очами
В дремоте томной он взглянул
И, утомленною главою
Склонясь к ногам ее, заснул.
И снится вещий сон герою:
Он видит, будто бы княжна
Над страшной бездны глубиною
Стоит недвижна и бледна…
И вдруг Людмила исчезает,
Стоит один над бездной он…
Знакомый глас, призывный стон
Из тихой бездны вылетает…
Руслан стремится за женой;
Стремглав летит во тьме глубокой.
И видит вдруг перед собой:
Владимир, в гриднице высокой,
В кругу седых богатырей,
Между двенадцатью сынами,
С толпою названных гостей
Сидит за браными столами.
И так же гневен старый князь,
Как в день ужасный расставанья,
И все сидят не шевелясь,
Не смея перервать молчанья.
Утих веселый шум гостей,
Не ходит чаша круговая…
И видит он среди гостей
В бою сраженного Рогдая:
Убитый, как живой, сидит;
Из опененного стакана
Он, весел, пьет и не глядит
На изумленного Руслана.
Князь видит и младого хана,
Друзей и недругов… и вдруг
Раздался гуслей беглый звук
И голос вещего Баяна,
Певца героев и забав.
Вступает в гридницу Фарлаф,
Ведет он за руку Людмилу;
Но старец, с места не привстав,
Молчит, склонив главу унылу,
Князья, бояре — все молчат,
Душевные движенья кроя.
И всё исчезло — смертный хлад
Объемлет спящего героя.
В дремоту тяжко погружен,
Он льет мучительные слезы,
В волненьи мыслит: это сон!
Томится, но зловещей грезы,
Увы, прервать не в силах он.
Луна чуть светит над горою;
Объяты рощи темнотою,
Долина в мертвой тишине…
Изменник едет на коне.
Перед ним открылася поляна;
Он видит сумрачный курган;
У ног Людмилы спит Руслан,
И ходит конь кругом кургана
Фарлаф с боязнию глядит;
В тумане ведьма исчезает,
В нем сердце замерло, дрожи
Из хладных рук узду роняет,
Тихонько обнажает меч,
Готовясь витязя без боя
С размаха надвое рассечь…
К нему подъехал. Конь героя,
Врага почуя, закипел,
Заржал и топнул. Знак напрасный!
Руслан не внемлет; сон ужасный,
Как груз, над ним отяготел!..
Изменник, ведьмой ободренный,
Герою в грудь рукой презренной
Вонзает трижды хладну сталь…
И мчится боязливо вдаль
С своей добычей драгоценной.
Всю ночь бесчувственный Руслан
Лежал во мраке под горою.
Часы летели. Кровь рекою
Текла из воспаленных ран.
Поутру, взор открыв туманный,
Пуская тяжкий, слабый стон,
С усильем приподнялся он,
Взглянул, поник главою бранной —
И пал недвижный, бездыханный.
Песнь шестая
Ты мне велишь, о друг мой нежный,
На лире легкой и небрежной
Старинны были напевать
И музе верной посвящать
Часы бесценного досуга…
Ты знаешь, милая подруга:
Поссорясь с ветреной молвой,
Твой друг, блаженством упоенный,
Забыл и труд уединенный,
И звуки лиры дорогой.
От гармонической забавы
Я, негой упоен, отвык…
Дышу тобой — и гордой славы
Невнятен мне призывный клик
Меня покинул тайный гений
И вымыслов, и сладких дум;
Любовь и жажда наслаждений
Одни преследуют мой ум.
Но ты велишь, но ты любила
Рассказы прежние мои,
Преданья славы и любви;
Мой богатырь, моя Людмила,
Владимир, ведьма, Черномор,
И Финна верные печали
Твое мечтанье занимали;
Ты, слушая мой легкий вздор,
С улыбкой иногда дремала;
Но иногда свой нежный взор
Нежнее на певца бросала…
Решусь; влюбленный говорун,
Касаюсь вновь ленивых струн;
Сажусь у ног твоих и снова
Бренчу про витязя младого.
Но что сказал я? Где Руслан?
Лежит он мертвый в чистом поле;
Уж кровь его не льется боле,
Над ним летает жадный вран,
Безгласен рог, недвижны латы,
Не шевелится шлем косматый!
Вокруг Руслана ходит конь,
Поникнув гордой головою,
В его глазах исчез огонь!
Не машет гривой золотою,
Не тешится, не скачет он,
И ждет, когда Руслан воспрянет…
Но князя крепок хладный сон,
И долго щит его не грянет.
А Черномор? Он за седлом,
В котомке, ведьмою забытый,
Еще не знает ни о чем;
Усталый, сонный и сердитый
Княжну, героя моего
Бранил от скуки молчаливо;
Не слыша долго ничего,
Волшебник выглянул — о диво!
Он видит, богатырь убит;
В крови потопленный лежит;
Людмилы нет, всё пусто в поле;
Злодей от радости дрожит
И мнит: свершилось, я на воле!
Но старый карла был неправ.
Меж тем, Наиной осененный
С Людмилой, тихо усыпленной
Стремится к Киеву Фарлаф:
Летит, надежды, страха полный;
Пред ним уже днепровски волны
В знакомых пажитях шумят;
Уж видит златоверхий град;
Уже Фарлаф по граду мчится,
И шум на стогнах восстает;
В волненьи радостном народ
Валит за всадником, теснится;
Бегут обрадовать отца:
И вот изменник у крыльца.
Влача в душе печали бремя,
Владимир-солнышко в то время
В высоком тереме своем
Сидел, томясь привычной думой.
Бояре, витязи кругом
Сидели с важностью угрюмой.
Вдруг внемлет он: перед крыльцом
Волненье, крики, шум чудесный;
Дверь отворилась; перед ним
Явился воин неизвестный;
Все встали с шепотом глухим
И вдруг смутились, зашумели:
«Людмила здесь! Фарлаф… ужели?»
В лице печальном изменясь,
Встает со стула старый князь,
Спешит тяжелыми шагами
К несчастной дочери своей,
Подходит; отчими руками
Он хочет прикоснуться к ней;
Но дева милая не внемлет,
И очарованная дремлет
В руках убийцы — все глядят
На князя в смутном ожиданье;
И старец беспокойный взгляд
Вперил на витязя в молчанье.
Но, хитро перст к устам прижав,
«Людмила спит, — сказал Фарлаф, —
Я так нашел ее недавно
В пустынных муромских лесах
У злого лешего в руках;
Там совершилось дело славно;
Три дня мы билися; луна
Над боем трижды подымалась;
Он пал, а юная княжна
Мне в руки сонною досталась;
И кто прервет сей дивный сон?
Когда настанет пробужденье?
Не знаю — скрыт судьбы закон!
А нам надежда и терпенье
Одни остались в утешенье».
И вскоре с вестью роковой
Молва по граду полетела;
Народа пестрою толпой
Градская площадь закипела;
Печальный терем всем открыт;
Толпа волнуется, валит
Туда, где на одре высоком,
На одеяле парчевом
Княжна лежит во сне глубоком;
Князья и витязи кругом
Стоят унылы; гласы трубны,
Рога, тимпаны, гусли, бубны
Гремят над нею; старый князь,
Тоской тяжелой изнурясь,
К ногам Людмилы сединами
Приник с безмолвными слезами;
И бледный близ него Фарлаф
В немом раскаяньи, в досаде,
Трепещет, дерзость потеряв.
Настала ночь. Никто во граде
Очей бессонных не смыкал;
Шумя, теснились все друг к другу:
О чуде всякой толковал;
Младой супруг свою супругу
В светлице скромной забывал.
Но только свет луны двурогой
Исчез пред утренней зарей,
Весь Киев новою тревогой
Смутился! Клики, шум и вой
Возникли всюду. Киевляне
Толпятся на стене градской…
И видят: в утреннем тумане
Шатры белеют за рекой;
Щиты, как зарево, блистают,
В полях наездники мелькают,
Вдали подъемля черный прах;
Идут походные телеги,
Костры пылают на холмах.
Беда: восстали печенеги!
Но в это время вещий Финн,
Духов могучий властелин,
В своей пустыне безмятежной,
С спокойным сердцем ожидал,
Чтоб день судьбины неизбежной,
Давно предвиденный, восстал.
В немой глуши степей горючих
За дальней цепью диких гор,
Жилища ветров, бурь гремучих,
Куда и ведьмы смелый взор
Проникнуть в поздний час боится,
Долина чудная таится,
И в той долине два ключа:
Один течет волной живою,
По камням весело журча,
Тот льется мертвою водою;
Кругом всё тихо, ветры спят,
Прохлада вешняя не веет,
Столетни сосны не шумят,
Не вьются птицы, лань не смеет
В жар летний пить из тайных вод;
Чета духов с начала мира,
Безмолвная на лоне мира,
Дремучий берег стережет…
С двумя кувшинами пустыми
Предстал отшельник перед ними;
Прервали духи давний сон
И удалились страха полны.
Склонившись, погружает он
Сосуды в девственные волны;
Наполнил, в воздухе пропал
И очутился в два мгновенья
В долине, где Руслан лежал
В крови, безгласный, без движенья;
И стал над рыцарем старик,
И вспрыснул мертвою водою,
И раны засияли вмиг,
И труп чудесной красотою
Процвел; тогда водой живою
Героя старец окропил,
И бодрый, полный новых сил,
Трепеща жизнью молодою,
Встает Руслан, на ясный день
Очами жадными взирает,
Как безобразный сон, как тень,
Перед ним минувшее мелькает.
Но где Людмила? Он один!
В нем сердце, вспыхнув, замирает.
Вдруг витязь вспрянул; вещий Финн
Его зовет и обнимает:
«Судьба свершилась, о мой сын!
Тебя блаженство ожидает;
Тебя зовет кровавый пир;
Твой грозный меч бедою грянет;
На Киев снидет кроткий мир,
И там она тебе предстанет.
Возьми заветное кольцо,
Коснися им чела Людмилы,
И тайных чар исчезнут силы,
Врагов смутит твое лицо,
Настанет мир, погибнет злоба.
Достойны счастья будьте оба!
Прости надолго, витязь мой!
Дай руку… там, за дверью гроба —
Не прежде — свидимся с тобой!»
Сказал, исчезнул. Упоенный
Восторгом пылким и немым,
Руслан, для жизни пробужденный,
Подъемлет руки вслед за ним.
Но ничего не слышно боле!
Руслан один в пустынном поле;
Запрыгав, с карлой за седлом,
Русланов конь нетерпеливый
Бежит и ржет, махая гривой;
Уж князь готов, уж он верхом,
Уж он летит живой и здравый
Через поля, через дубравы.
Но между тем какой позор
Являет Киев осажденный?
Там, устремив на нивы взор,
Народ, уныньем пораженный,
Стоит на башнях и стенах
И в страхе ждет небесной казни;
Стенанья робкие в домах,
На стогнах тишина боязни;
Один, близ дочери своей,
Владимир в горестной молитве;
И храбрый сонм богатырей
С дружиной верною князей
Готовится к кровавой битве.
И день настал. Толпы врагов
С зарею двинулись с холмов;
Неукротимые дружины,
Волнуясь, хлынули с равнины
И потекли к стене градской;
Во граде трубы загремели,
Бойцы сомкнулись, полетели
Навстречу рати удалой,
Сошлись — и заварился бой.
Почуя смерть, взыграли кони,
Пошли стучать мечи о брони;
Со свистом туча стрел взвилась,
Равнина кровью залилась;
Стремглав наездники помчались,
Дружины конные смешались;
Сомкнутой, дружною стеной
Там рубится со строем строй;
Со всадником там пеший бьется;
Там конь испуганный несется;
Там русский пал, там печенег;
Там клики битвы, там побег;
Тот опрокинут булавою;
Тот легкой поражен стрелою;
Другой, придавленный щитом,
Растоптан бешеным конем…
И длился бой до темной ночи;
Ни враг, ни наш не одолел!
За грудами кровавых тел
Бойцы сомкнули томны очи,
И крепок был их бранный сон;
Лишь изредка на поле битвы
Был слышен падших скорбный стон
И русских витязей молитвы.
Бледнела утренняя тень,
Волна сребрилася в потоке,
Сомнительный рождался день
На отуманенном востоке.
Яснели холмы и леса,
И просыпались небеса.
Еще в бездейственном покое
Дремало поле боевое;
Вдруг сон прервался: вражий стан
С тревогой шумною воспрянул,
Внезапный крик сражений грянул;
Смутилось сердце киевлян;
Бегут нестройными толпами
И видят: в поле меж врагами,
Блистая в латах, как в огне,
Чудесный воин на коне
Грозой несется, колет, рубит,
В ревущий рог, летая, трубит…
То был Руслан. Как божий гром,
Наш витязь пал на басурмана;
Он рыщет с карлой за седлом
Среди испуганного стана.
Где ни просвищет грозный меч,
Где конь сердитый ни промчится,
Везде главы слетают с плеч
И с воплем строй на строй валится;
В одно мгновенье бранный луг
Покрыт холмами тел кровавых,
Живых, раздавленных, безглавых,
Громадой копий, стрел, кольчуг.
На трубный звук, на голос боя
Дружины конные славян
Помчались по следам героя,
Сразились… гибни, басурман!
Объемлет ужас печенегов;
Питомцы бурные набегов
Зовут рассеянных коней,
Противиться не смеют боле
И с диким воплем в пыльном поле
Бегут от киевских мечей,
Обречены на жертву аду;
Их сонмы русский меч казнит;
Ликует Киев… Но по граду
Могучий богатырь летит;
В деснице держит меч победный;
Копье сияет как звезда;
Струится кровь с кольчуги медной;
На шлеме вьется борода;
Летит, надеждой окриленный,
По стогнам шумным в княжий дом.
Народ, восторгом упоенный,
Толпится с кликами кругом,
И князя радость оживила.
В безмолвный терем входит он,
Где дремлет чудным сном Людмила.
Владимир, в думу погружен,
У ног ее стоял унылый.
Он был один. Его друзей
Война влекла в поля кровавы.
Но с ним Фарлаф, чуждаясь славы
Вдали от вражеских мечей,
В душе презрев тревоги стана,
Стоял на страже у дверей.
Едва злодей узнал Руслана,
В нем кровь остыла, взор погас,
В устах открытых замер глас,
И пал без чувств он на колена…
Достойной казни ждет измена!
Но, помня тайный дар кольца,
Руслан летит к Людмиле спящей,
Ее спокойного лица
Касается рукой дрожащей…
И чудо: юная княжна,
Вздохнув, открыла светлы очи!
Казалось, будто бы она
Дивилася столь долгой ночи;
Казалось, что какой-то сон
Ее томил мечтой неясной,
И вдруг узнала — это он!
И князь в объятиях прекрасной.
Воскреснув пламенной душой,
Руслан не видит, не внимает,
И старец в радости немой,
Рыдая, милых обнимает.
Чем кончу длинный мой pассказ?
Ты угадаешь, друг мой милый!
Неправый старца гнев погас,
Фарлаф пред ним и пред Людмилой
У ног Руслана объявил
Свой стыд и мрачное злодейство;
Счастливый князь ему простил;
Лишенный силы чародейства,
Был принят карла во дворец;
И, бедствий празднуя конец,
Владимир в гриднице высокой
Запировал в семье своей.
Дела давно минувших дней,
Преданья старины глубокой.
Эпилог
Так, мира житель равнодушный,
На лоне праздной тишины,
Я славил лирою послушной
Преданья темной старины.
Я пел — и забывал обиды
Слепого счастья и врагов,
Измены ветреной Дориды
И сплетни шумные глупцов.
На крыльях вымысла носимый,
Ум улетал за край земной;
И между тем грозы незримой
Сбиралась туча надо мной!..
Я погибал… Святой хранитель
Первоначальных, бурных дней,
О дружба, нежный утешитель
Болезненной души моей!
Ты умолила непогоду;
Ты сердцу возвратила мир;
Ты сохранила мне свободу,
Кипящей младости кумир!
Забытый светом и молвою,
Далече от брегов Невы,
Теперь я вижу пред собою
Кавказа гордые главы.
Над их вершинами крутыми,
На скате каменных стремнин,
Питаюсь чувствами немыми
И чудной прелестью картин
Природы дикой и угрюмой;
Душа, как прежде, каждый час
Полна томительною думой —
Но огнь поэзии погас.
Ищу напрасно впечатлений:
Она прошла, пора стихов,
Пора любви, веселых снов,
Пора сердечных вдохновений!
Восторгов краткий день протек —
И скрылась от меня навек
Богиня тихих песнопений…
",RU,Руслан и Людмила (Поэма),"['Для детей', 'О любви', 'Золотой век', 'Длинные', 'Поэмы', 'Сказки', 'Стихи Александра Пушкина – Для детей', 'Стихи Александра Пушкина – О любви', 'Стихи Александра Пушкина – Золотой век', 'Стихи Александра Пушкина – Длинные', 'Стихи Александра Пушкина – Поэмы', 'Стихи Александра Пушкина – Сказки']"
Марина Цветаева,"Почему ты плачешь? — Так. —
Плакать так смешно и глупо.
Зареветь, не кончив супа!
Отними от глаз кулак!
Если плачешь, есть причина.
Я отец, и я не враг.
Почему ты плачешь? — Так. —
Ну какой же ты мужчина?
Отними от глаз кулак!
Что за нрав такой? Откуда?
Рассержусь, и будет худо!
Почему ты плачешь? — Так.
",RU,Так,"['Для детей', 'О семье', 'О любви', 'О жизни', 'Серебряный век', 'Стихи Марины Цветаевой – Для детей', 'Стихи Марины Цветаевой – О семье', 'Стихи Марины Цветаевой – О любви', 'Стихи Марины Цветаевой – О жизни', 'Стихи Марины Цветаевой – Серебряный век']"
